Vardas         Pavarde        ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas2911     Pavarde2911    5      7      4      4      8      2      10     0      9      3      0      10     7      9      0      2      
Vardas2912     Pavarde2912    7      8      5      2      8      5      9      9      2      10     3      9      4      10     5      7      
Vardas2913     Pavarde2913    8      4      0      7      1      3      7      5      4      1      2      0      2      0      0      10     
Vardas2914     Pavarde2914    7      1      1      5      7      5      6      4      10     2      10     5      9      6      1      6      
Vardas2915     Pavarde2915    6      1      1      6      8      3      4      1      6      2      2      6      6      0      5      8      
Vardas2916     Pavarde2916    2      9      8      8      9      5      9      3      6      7      8      5      5      7      6      9      
Vardas2917     Pavarde2917    7      8      3      0      2      2      8      5      10     6      9      6      8      3      10     9      
Vardas2918     Pavarde2918    10     2      2      6      0      4      9      10     3      8      10     5      4      0      6      0      
Vardas2919     Pavarde2919    6      3      2      1      3      7      7      10     5      5      5      8      8      10     4      3      
Vardas2920     Pavarde2920    9      7      6      7      9      1      4      10     0      6      0      9      8      6      6      5      
Vardas2921     Pavarde2921    7      3      1      4      0      9      8      7      10     1      9      3      1      0      3      7      
Vardas2922     Pavarde2922    3      3      4      4      5      3      2      9      10     10     3      6      5      6      6      2      
Vardas2923     Pavarde2923    10     0      2      5      4      3      1      4      8      8      8      9      10     10     0      10     
Vardas2924     Pavarde2924    9      1      6      10     8      7      3      8      7      2      2      9      5      0      9      2      
Vardas2925     Pavarde2925    2      8      9      6      8      2      8      3      2      10     4      9      2      3      2      3      
Vardas2926     Pavarde2926    6      6      5      0      3      8      9      7      8      9      0      2      7      9      9      1      
Vardas2927     Pavarde2927    9      5      4      9      4      10     3      1      6      8      9      9      5      6      5      9      
Vardas2928     Pavarde2928    3      7      1      7      1      0      0      8      0      4      4      10     10     8      1      2      
Vardas2929     Pavarde2929    6      7      3      2      7      5      1      10     3      6      1      6      9      4      3      1      
Vardas2930     Pavarde2930    2      8      9      9      7      8      3      3      8      1      2      3      6      3      3      9      
Vardas2931     Pavarde2931    3      4      3      8      6      2      9      10     1      10     1      0      9      5      1      3      
Vardas2932     Pavarde2932    0      1      2      1      5      9      10     1      3      2      3      9      2      3      3      9      
Vardas2933     Pavarde2933    0      0      0      4      3      8      2      9      3      7      2      4      1      0      4      6      
Vardas2934     Pavarde2934    2      7      8      7      2      0      7      3      3      4      10     0      10     5      1      3      
Vardas2935     Pavarde2935    9      2      6      1      6      10     9      9      10     4      5      10     1      2      1      0      
Vardas2936     Pavarde2936    2      5      8      5      2      6      4      1      8      10     6      4      1      8      6      7      
Vardas2937     Pavarde2937    0      5      2      3      2      9      0      6      10     2      9      10     8      6      5      6      
Vardas2938     Pavarde2938    2      0      7      10     9      3      6      6      4      9      8      6      7      3      2      6      
Vardas2939     Pavarde2939    5      7      7      8      8      10     7      5      10     4      10     2      6      4      8      4      
Vardas2940     Pavarde2940    6      1      10     3      4      1      10     10     3      7      2      7      6      1      7      2      
Vardas2941     Pavarde2941    6      7      0      6      7      4      0      6      9      4      10     3      8      8      1      0      
Vardas2942     Pavarde2942    0      2      5      2      2      8      5      6      7      10     3      7      4      1      7      10     
Vardas2943     Pavarde2943    1      3      9      9      2      9      8      9      0      9      6      4      0      9      8      2      
Vardas2944     Pavarde2944    7      5      0      2      2      0      8      4      10     8      0      6      8      6      1      1      
Vardas2945     Pavarde2945    1      3      9      2      1      8      10     7      6      2      10     4      8      10     6      9      
Vardas2946     Pavarde2946    3      3      9      9      8      9      8      2      5      10     0      4      6      1      9      0      
Vardas2947     Pavarde2947    3      0      5      1      10     6      3      5      6      3      5      1      1      1      1      1      
Vardas2948     Pavarde2948    10     7      2      5      7      5      8      4      3      1      4      0      1      8      7      4      
Vardas2949     Pavarde2949    2      9      0      5      10     4      8      8      7      1      10     3      1      6      9      9      
Vardas2950     Pavarde2950    1      7      10     10     3      2      8      9      2      10     0      7      8      9      3      7      
Vardas2951     Pavarde2951    4      7      5      10     2      8      2      6      4      5      2      1      9      8      10     0      
Vardas2952     Pavarde2952    10     7      4      10     5      6      6      6      1      5      6      7      1      4      7      0      
Vardas2953     Pavarde2953    10     8      0      10     6      3      9      8      2      0      8      9      0      10     4      7      
Vardas2954     Pavarde2954    7      0      10     6      9      8      8      9      2      5      5      1      9      10     8      10     
Vardas2955     Pavarde2955    8      9      7      10     10     8      8      0      3      7      10     3      4      9      5      1      
Vardas2956     Pavarde2956    4      0      5      4      4      10     6      10     5      3      4      7      7      8      1      3      
Vardas2957     Pavarde2957    4      10     8      7      1      0      6      0      4      9      3      7      9      5      10     9      
Vardas2958     Pavarde2958    6      5      8      2      3      5      2      1      7      4      3      0      5      9      2      4      
Vardas2959     Pavarde2959    5      5      6      9      0      6      2      3      7      9      7      1      6      0      10     6      
Vardas2960     Pavarde2960    3      5      1      4      7      7      6      8      7      8      8      8      6      10     8      8      
Vardas2961     Pavarde2961    0      0      9      8      8      1      2      7      5      5      3      3      7      2      3      7      
Vardas2962     Pavarde2962    8      0      6      8      8      6      9      2      0      5      9      7      3      5      6      0      
Vardas2963     Pavarde2963    3      1      7      3      7      9      4      5      1      2      1      2      5      1      3      8      
Vardas2964     Pavarde2964    7      7      1      6      4      7      10     2      7      3      0      10     4      2      5      6      
Vardas2965     Pavarde2965    9      9      0      4      5      3      6      4      0      0      4      5      9      4      3      3      
Vardas2966     Pavarde2966    7      3      8      9      6      8      10     10     2      8      9      4      1      7      10     4      
Vardas2967     Pavarde2967    5      2      2      2      6      9      4      1      8      10     1      9      6      9      9      7      
Vardas2968     Pavarde2968    8      6      8      2      7      2      3      6      9      9      9      6      1      4      2      4      
Vardas2969     Pavarde2969    2      10     5      2      1      3      1      1      8      10     3      1      4      5      2      6      
Vardas2970     Pavarde2970    10     4      7      6      8      2      9      4      2      6      6      4      10     3      1      4      
Vardas2971     Pavarde2971    2      0      9      2      2      2      9      2      10     9      3      3      6      5      8      3      
Vardas2972     Pavarde2972    9      7      1      3      8      1      9      10     1      9      9      10     1      2      9      9      
Vardas2973     Pavarde2973    4      9      3      4      4      9      2      3      8      4      2      6      4      9      8      10     
Vardas2974     Pavarde2974    7      7      5      9      0      7      10     8      9      3      0      6      5      2      0      6      
Vardas2975     Pavarde2975    5      4      1      5      5      3      7      2      6      0      4      8      3      3      9      0      
Vardas2976     Pavarde2976    0      0      1      3      4      4      9      9      2      3      6      2      6      4      0      5      
Vardas2977     Pavarde2977    6      6      3      8      10     10     4      5      0      8      8      6      10     4      4      6      
Vardas2978     Pavarde2978    6      2      9      7      4      10     5      5      6      4      3      8      7      7      4      6      
Vardas2979     Pavarde2979    0      8      9      10     4      7      10     6      9      0      2      8      1      9      4      7      
Vardas2980     Pavarde2980    10     1      1      4      3      9      1      1      8      3      1      9      2      4      7      3      
Vardas2981     Pavarde2981    1      4      3      7      2      7      9      5      5      10     1      6      0      1      5      7      
Vardas2982     Pavarde2982    9      1      8      2      7      6      7      9      3      3      4      4      3      2      0      0      
Vardas2983     Pavarde2983    0      2      9      4      6      1      9      10     0      3      2      7      1      3      2      10     
Vardas2984     Pavarde2984    0      5      1      8      5      5      6      5      4      6      1      4      0      9      7      10     
Vardas2985     Pavarde2985    10     10     7      0      10     9      8      4      10     8      5      3      0      1      9      5      
Vardas2986     Pavarde2986    6      6      9      0      8      0      2      1      2      0      7      10     2      2      9      4      
Vardas2987     Pavarde2987    2      6      7      10     7      7      0      10     10     10     8      3      8      1      1      4      
Vardas2988     Pavarde2988    2      9      8      6      7      2      6      10     0      10     8      7      0      5      10     1      
Vardas2989     Pavarde2989    3      4      1      9      8      2      6      0      3      0      4      0      2      8      5      6      
Vardas2990     Pavarde2990    0      4      9      4      3      5      7      10     7      6      0      1      10     6      10     4      
Vardas2991     Pavarde2991    8      0      9      3      1      2      1      5      3      1      7      9      3      2      2      0      
Vardas2992     Pavarde2992    5      2      5      8      2      9      0      4      7      4      7      10     0      4      1      6      
Vardas2993     Pavarde2993    5      9      9      5      9      9      6      5      6      9      4      5      5      7      4      7      
Vardas2994     Pavarde2994    9      1      10     1      0      3      10     4      2      2      4      1      5      7      4      3      
Vardas2995     Pavarde2995    1      7      4      6      1      0      9      5      3      2      0      10     5      4      5      0      
Vardas2996     Pavarde2996    1      6      6      9      5      9      2      7      5      4      3      9      7      6      1      10     
Vardas2997     Pavarde2997    9      7      8      0      8      10     8      9      1      4      8      2      8      2      3      3      
Vardas2998     Pavarde2998    0      3      0      1      8      9      5      7      0      2      2      5      3      7      0      4      
Vardas2999     Pavarde2999    3      0      1      2      1      10     8      6      9      1      2      10     5      10     0      2      
Vardas3000     Pavarde3000    10     1      0      3      3      1      2      4      10     4      0      10     2      7      6      6      
Vardas3001     Pavarde3001    6      3      2      5      10     3      7      9      2      1      8      3      2      3      1      1      
Vardas3002     Pavarde3002    7      6      1      10     1      3      6      9      1      4      2      10     3      7      10     8      
Vardas3003     Pavarde3003    6      1      2      4      7      6      6      0      6      8      2      0      3      2      7      1      
Vardas3004     Pavarde3004    0      6      1      7      6      10     10     1      6      5      1      0      5      10     7      7      
Vardas3005     Pavarde3005    5      2      6      7      5      1      4      0      2      6      9      3      9      1      4      6      
Vardas3006     Pavarde3006    7      0      3      5      4      0      5      4      1      8      0      5      1      10     6      7      
Vardas3007     Pavarde3007    0      2      9      5      5      1      0      8      6      6      5      5      2      3      10     0      
Vardas3008     Pavarde3008    2      8      0      5      7      9      5      3      0      0      1      3      4      3      9      8      
Vardas3009     Pavarde3009    9      6      2      0      4      5      9      2      7      7      1      5      7      4      4      8      
Vardas3010     Pavarde3010    0      2      10     0      10     7      8      10     0      6      5      3      7      0      2      1      
Vardas3011     Pavarde3011    3      9      9      7      6      10     0      10     3      4      1      6      7      4      4      5      
Vardas3012     Pavarde3012    3      8      5      10     1      9      0      8      10     8      10     0      1      5      10     10     
Vardas3013     Pavarde3013    1      2      7      1      1      5      7      0      10     4      10     0      2      4      6      2      
Vardas3014     Pavarde3014    10     4      4      2      4      5      5      6      4      9      1      1      4      3      6      2      
Vardas3015     Pavarde3015    10     0      2      1      1      10     4      1      6      2      8      7      1      2      0      1      
Vardas3016     Pavarde3016    8      3      9      10     3      2      4      10     7      5      7      10     3      1      7      3      
Vardas3017     Pavarde3017    9      7      0      1      2      10     1      7      4      10     5      5      7      4      5      3      
Vardas3018     Pavarde3018    2      2      0      4      5      9      4      5      0      10     8      6      6      2      1      1      
Vardas3019     Pavarde3019    1      10     6      2      7      7      9      5      8      3      8      0      6      10     2      1      
Vardas3020     Pavarde3020    5      4      2      5      6      7      9      10     2      8      3      9      7      10     0      3      
Vardas3021     Pavarde3021    1      9      8      5      3      9      10     8      8      9      5      0      6      6      9      2      
Vardas3022     Pavarde3022    5      0      6      5      0      7      8      9      6      8      9      5      9      6      1      6      
Vardas3023     Pavarde3023    0      3      7      2      8      2      4      8      4      2      6      6      2      5      5      4      
Vardas3024     Pavarde3024    0      10     9      2      1      7      3      9      3      7      8      4      8      9      8      8      
Vardas3025     Pavarde3025    4      2      9      5      5      7      10     5      5      3      9      3      8      4      4      0      
Vardas3026     Pavarde3026    1      5      5      1      1      0      0      2      9      2      7      2      4      9      0      3      
Vardas3027     Pavarde3027    0      4      10     9      1      5      10     5      7      6      0      7      4      2      6      8      
Vardas3028     Pavarde3028    9      9      4      7      2      6      7      7      0      0      9      0      4      8      8      5      
Vardas3029     Pavarde3029    9      3      0      7      10     4      2      3      4      4      8      5      9      5      1      7      
Vardas3030     Pavarde3030    2      0      9      6      2      4      8      0      0      7      4      3      10     3      7      2      
Vardas3031     Pavarde3031    2      8      6      7      7      6      2      5      6      10     9      7      9      4      1      6      
Vardas3032     Pavarde3032    0      5      8      3      6      7      4      1      4      9      3      5      4      8      3      1      
Vardas3033     Pavarde3033    3      10     5      6      8      7      1      0      8      0      8      1      7      10     0      5      
Vardas3034     Pavarde3034    1      6      8      0      1      5      7      4      5      9      3      10     1      8      0      10     
Vardas3035     Pavarde3035    10     7      8      4      3      2      0      0      1      7      2      9      3      3      10     3      
Vardas3036     Pavarde3036    10     0      1      7      3      0      3      10     10     5      3      8      0      4      0      9      
Vardas3037     Pavarde3037    8      10     8      5      4      7      9      7      3      4      9      10     8      4      3      7      
Vardas3038     Pavarde3038    3      9      2      8      1      8      4      6      8      10     0      10     9      2      2      4      
Vardas3039     Pavarde3039    5      10     7      0      3      2      1      1      3      9      9      5      9      0      2      5      
Vardas3040     Pavarde3040    3      1      3      4      1      8      1      10     8      10     10     2      5      7      10     8      
Vardas3041     Pavarde3041    10     4      1      8      4      5      8      6      0      9      0      2      6      9      8      5      
Vardas3042     Pavarde3042    2      0      9      9      6      0      4      9      10     0      10     0      8      5      4      6      
Vardas3043     Pavarde3043    8      6      4      2      8      9      7      10     4      7      4      9      2      10     8      0      
Vardas3044     Pavarde3044    1      10     9      3      5      7      1      10     5      4      4      0      6      10     7      5      
Vardas3045     Pavarde3045    1      9      3      3      7      1      8      6      6      2      5      7      0      7      0      7      
Vardas3046     Pavarde3046    6      5      0      7      3      9      7      8      4      4      2      10     0      3      8      1      
Vardas3047     Pavarde3047    0      3      4      6      10     0      4      4      8      7      7      3      6      4      6      1      
Vardas3048     Pavarde3048    7      4      5      0      2      2      5      3      6      9      0      3      4      6      10     6      
Vardas3049     Pavarde3049    1      0      1      8      2      10     10     1      3      3      7      4      8      8      2      9      
Vardas3050     Pavarde3050    2      5      5      0      7      4      4      4      7      10     5      4      0      3      3      4      
Vardas3051     Pavarde3051    6      4      0      1      0      1      10     3      9      2      7      8      8      5      2      3      
Vardas3052     Pavarde3052    2      0      10     7      2      4      0      9      3      4      10     0      1      7      9      5      
Vardas3053     Pavarde3053    9      5      6      5      2      7      0      7      0      4      3      3      6      9      8      8      
Vardas3054     Pavarde3054    7      3      6      8      0      10     4      8      9      6      5      3      4      5      3      0      
Vardas3055     Pavarde3055    10     2      8      8      3      0      10     1      5      9      2      10     10     8      4      8      
Vardas3056     Pavarde3056    1      2      4      9      2      3      9      5      5      2      9      2      10     7      4      1      
Vardas3057     Pavarde3057    9      6      10     1      1      2      8      5      5      2      1      3      7      6      2      6      
Vardas3058     Pavarde3058    1      2      3      8      8      2      9      4      0      1      7      5      5      7      2      5      
Vardas3059     Pavarde3059    4      5      9      5      7      9      2      7      5      5      0      5      10     1      0      4      
Vardas3060     Pavarde3060    6      9      3      9      6      10     6      3      5      7      6      9      4      9      9      3      
Vardas3061     Pavarde3061    6      4      2      5      3      1      0      4      1      10     8      6      10     2      9      2      
Vardas3062     Pavarde3062    0      0      7      10     10     5      6      5      5      0      4      10     1      2      5      6      
Vardas3063     Pavarde3063    6      5      4      10     4      6      10     3      8      9      8      5      6      2      8      7      
Vardas3064     Pavarde3064    3      7      5      4      6      5      2      5      9      1      0      1      3      7      0      7      
Vardas3065     Pavarde3065    0      4      5      0      9      8      9      6      10     7      9      8      0      5      10     4      
Vardas3066     Pavarde3066    2      7      5      2      5      1      6      10     7      0      5      8      3      0      2      2      
Vardas3067     Pavarde3067    4      5      0      3      1      9      5      10     8      2      0      3      5      8      5      7      
Vardas3068     Pavarde3068    4      8      8      5      9      5      5      1      0      1      4      6      3      9      5      4      
Vardas3069     Pavarde3069    5      5      8      4      0      10     2      6      5      6      5      2      9      0      10     3      
Vardas3070     Pavarde3070    7      2      10     9      1      2      4      10     1      10     10     6      3      1      8      6      
Vardas3071     Pavarde3071    1      0      0      9      10     10     3      4      2      1      0      3      7      9      9      2      
Vardas3072     Pavarde3072    5      2      9      5      7      5      7      5      3      3      0      5      9      0      1      9      
Vardas3073     Pavarde3073    0      0      3      7      10     4      9      4      7      1      0      10     0      4      2      3      
Vardas3074     Pavarde3074    10     4      5      8      5      5      6      6      6      0      6      3      1      9      2      10     
Vardas3075     Pavarde3075    2      3      2      4      5      7      3      7      3      7      0      6      7      9      1      10     
Vardas3076     Pavarde3076    4      10     1      3      7      0      0      6      0      0      6      7      2      3      3      2      
Vardas3077     Pavarde3077    6      7      9      7      7      4      3      10     3      2      2      4      2      2      8      10     
Vardas3078     Pavarde3078    7      5      7      1      10     4      7      10     5      9      4      6      5      2      4      4      
Vardas3079     Pavarde3079    6      9      2      1      2      3      7      3      7      10     6      0      8      3      1      8      
Vardas3080     Pavarde3080    8      10     1      4      10     5      0      10     0      2      10     3      7      0      9      6      
Vardas3081     Pavarde3081    7      1      7      1      5      4      10     2      3      5      7      2      3      5      9      0      
Vardas3082     Pavarde3082    5      5      8      3      7      4      3      4      8      6      10     9      8      2      10     5      
Vardas3083     Pavarde3083    2      5      7      3      0      2      5      6      6      7      7      0      0      1      9      0      
Vardas3084     Pavarde3084    7      6      0      9      7      5      8      6      4      8      10     7      5      5      3      10     
Vardas3085     Pavarde3085    5      2      3      8      6      3      8      8      9      4      3      7      4      6      5      3      
Vardas3086     Pavarde3086    1      2      3      2      1      0      6      9      3      5      7      6      9      4      6      9      
Vardas3087     Pavarde3087    0      3      3      10     4      9      7      6      6      7      4      4      4      0      0      0      
Vardas3088     Pavarde3088    5      10     8      7      6      6      9      8      7      1      3      5      0      9      8      7      
Vardas3089     Pavarde3089    1      3      7      6      9      5      1      6      0      4      9      2      4      6      0      6      
Vardas3090     Pavarde3090    0      3      8      7      10     0      8      0      0      9      10     7      2      1      5      1      
Vardas3091     Pavarde3091    9      4      0      3      10     4      1      1      3      1      2      9      6      8      1      7      
Vardas3092     Pavarde3092    8      8      6      7      3      6      5      4      7      6      7      9      8      10     8      3      
Vardas3093     Pavarde3093    0      5      2      4      2      5      2      9      7      0      1      5      6      10     1      4      
Vardas3094     Pavarde3094    1      3      7      8      1      10     8      4      10     3      1      8      8      9      1      3      
Vardas3095     Pavarde3095    9      5      9      6      4      0      10     0      0      6      1      9      4      9      4      10     
Vardas3096     Pavarde3096    10     10     4      2      5      9      5      0      6      4      4      5      6      8      3      1      
Vardas3097     Pavarde3097    3      0      5      6      10     10     8      9      4      4      9      7      10     8      7      4      
Vardas3098     Pavarde3098    0      7      1      6      1      5      9      1      4      1      2      1      2      6      6      9      
Vardas3099     Pavarde3099    3      4      2      4      10     1      6      5      1      8      10     2      5      8      3      6      
Vardas3100     Pavarde3100    6      3      3      0      4      9      2      7      5      6      7      10     3      1      1      0      
Vardas3101     Pavarde3101    5      5      2      7      8      6      8      5      10     10     9      7      8      5      10     3      
Vardas3102     Pavarde3102    6      6      8      7      3      1      1      7      3      2      5      6      0      7      10     6      
Vardas3103     Pavarde3103    0      1      7      4      8      2      8      5      8      2      8      0      3      4      8      1      
Vardas3104     Pavarde3104    6      10     3      8      0      1      3      6      0      8      2      3      1      0      0      0      
Vardas3105     Pavarde3105    0      3      2      10     4      6      1      10     8      7      6      6      9      8      4      9      
Vardas3106     Pavarde3106    10     6      1      5      2      7      9      8      6      3      6      10     8      10     3      8      
Vardas3107     Pavarde3107    3      3      6      8      2      7      2      2      0      9      4      8      8      9      0      0      
Vardas3108     Pavarde3108    4      7      3      10     0      10     6      9      7      4      3      8      0      0      3      8      
Vardas3109     Pavarde3109    6      2      5      5      4      0      2      1      8      7      7      4      5      9      0      5      
Vardas3110     Pavarde3110    8      0      7      6      9      9      0      1      5      0      1      10     6      0      5      3      
Vardas3111     Pavarde3111    10     7      0      2      9      5      3      5      5      1      3      7      0      0      4      2      
Vardas3112     Pavarde3112    5      9      9      4      3      5      3      9      8      0      4      2      0      5      6      5      
Vardas3113     Pavarde3113    7      7      7      1      6      2      1      4      8      5      6      8      1      7      7      8      
Vardas3114     Pavarde3114    10     0      7      5      4      7      6      4      8      1      5      1      3      6      5      9      
Vardas3115     Pavarde3115    9      9      3      7      3      7      4      8      0      1      5      9      4      4      1      3      
Vardas3116     Pavarde3116    1      1      1      1      5      1      4      8      3      3      0      5      7      2      7      9      
Vardas3117     Pavarde3117    4      9      5      6      4      0      2      0      5      5      4      8      6      4      7      8      
Vardas3118     Pavarde3118    1      4      3      6      2      4      4      0      2      6      3      5      4      3      1      0      
Vardas3119     Pavarde3119    5      9      2      6      6      7      2      4      8      7      7      4      10     2      10     7      
Vardas3120     Pavarde3120    4      3      8      1      3      2      6      3      4      10     9      7      2      8      4      10     
Vardas3121     Pavarde3121    2      0      9      3      8      7      5      8      3      9      8      3      3      1      3      1      
Vardas3122     Pavarde3122    10     1      2      4      10     7      2      10     7      9      4      5      4      2      0      6      
Vardas3123     Pavarde3123    9      10     3      2      6      9      4      0      5      0      4      0      8      5      10     9      
Vardas3124     Pavarde3124    0      10     10     4      9      7      2      7      0      6      1      0      10     10     10     8      
Vardas3125     Pavarde3125    6      7      3      7      7      3      0      1      5      6      6      0      9      4      9      7      
Vardas3126     Pavarde3126    9      8      4      0      10     0      4      6      7      0      8      3      3      8      4      10     
Vardas3127     Pavarde3127    2      9      10     1      2      1      8      9      7      2      1      10     9      9      3      9      
Vardas3128     Pavarde3128    4      3      9      1      6      8      0      0      0      1      9      2      0      10     10     5      
Vardas3129     Pavarde3129    0      2      6      5      0      3      7      4      0      2      7      2      5      3      9      8      
Vardas3130     Pavarde3130    10     2      7      1      2      5      9      6      10     4      2      3      6      0      1      10     
Vardas3131     Pavarde3131    3      0      8      6      8      0      9      9      3      10     10     10     5      9      3      7      
Vardas3132     Pavarde3132    1      5      2      3      8      4      10     4      3      2      3      5      3      2      8      3      
Vardas3133     Pavarde3133    3      9      0      4      9      2      1      5      10     7      6      1      3      6      9      1      
Vardas3134     Pavarde3134    6      10     1      6      4      6      10     7      10     9      9      6      10     0      6      10     
Vardas3135     Pavarde3135    7      0      6      8      4      10     2      0      6      4      3      3      5      7      6      5      
Vardas3136     Pavarde3136    5      0      1      3      2      10     9      7      8      0      6      6      10     5      2      7      
Vardas3137     Pavarde3137    0      3      6      0      5      9      6      2      1      4      6      7      8      4      10     6      
Vardas3138     Pavarde3138    5      6      10     0      1      4      7      10     8      3      0      6      2      2      2      9      
Vardas3139     Pavarde3139    3      5      5      2      8      1      2      9      9      10     0      0      6      3      8      8      
Vardas3140     Pavarde3140    7      1      5      3      6      3      1      8      8      7      1      5      2      3      2      7      
Vardas3141     Pavarde3141    3      4      5      4      4      6      1      2      10     7      6      1      7      8      4      2      
Vardas3142     Pavarde3142    4      4      10     9      6      2      9      0      6      8      9      5      2      7      4      8      
Vardas3143     Pavarde3143    8      3      2      6      8      4      10     1      1      5      8      4      7      7      4      1      
Vardas3144     Pavarde3144    4      6      2      6      3      5      2      1      1      2      6      10     2      10     10     1      
Vardas3145     Pavarde3145    1      0      9      3      2      5      10     5      3      1      2      9      5      5      4      6      
Vardas3146     Pavarde3146    5      8      10     2      1      8      7      8      3      2      3      0      5      8      5      10     
Vardas3147     Pavarde3147    5      2      2      10     6      4      3      6      0      3      5      9      7      4      5      10     
Vardas3148     Pavarde3148    4      4      9      3      0      4      7      0      10     3      10     8      2      10     4      2      
Vardas3149     Pavarde3149    9      1      8      5      4      1      9      8      6      2      5      10     4      8      5      6      
Vardas3150     Pavarde3150    9      3      10     0      5      8      5      7      3      6      6      2      2      10     4      1      
Vardas3151     Pavarde3151    3      0      3      3      5      2      8      6      9      0      10     7      4      9      8      3      
Vardas3152     Pavarde3152    8      9      3      8      2      2      0      0      7      0      8      8      5      2      2      0      
Vardas3153     Pavarde3153    10     10     6      5      4      3      9      10     4      6      7      8      0      6      6      4      
Vardas3154     Pavarde3154    1      9      6      8      7      5      9      9      6      6      8      4      1      10     3      3      
Vardas3155     Pavarde3155    6      10     3      3      1      9      9      2      7      9      8      5      7      5      0      4      
Vardas3156     Pavarde3156    4      2      1      10     6      1      8      1      4      8      1      1      9      7      1      2      
Vardas3157     Pavarde3157    4      4      6      3      1      10     8      0      7      9      7      5      9      5      8      5      
Vardas3158     Pavarde3158    6      1      1      10     7      10     8      6      1      10     3      1      8      0      4      5      
Vardas3159     Pavarde3159    3      6      6      1      4      3      1      5      0      5      9      1      6      0      2      10     
Vardas3160     Pavarde3160    4      3      2      10     7      1      10     10     5      8      4      1      7      6      8      5      
Vardas3161     Pavarde3161    7      2      3      2      8      5      2      0      0      5      9      7      5      8      7      1      
Vardas3162     Pavarde3162    1      4      3      8      7      3      8      5      5      8      10     6      9      9      0      8      
Vardas3163     Pavarde3163    2      0      2      8      7      2      5      7      10     5      2      9      4      7      9      9      
Vardas3164     Pavarde3164    4      7      4      5      2      10     2      3      2      1      10     7      1      6      9      10     
Vardas3165     Pavarde3165    4      8      4      2      0      0      10     8      9      9      5      4      3      5      2      8      
Vardas3166     Pavarde3166    9      1      3      6      7      9      3      8      6      10     1      9      4      2      2      9      
Vardas3167     Pavarde3167    7      6      5      8      2      2      9      4      8      5      2      4      9      9      6      3      
Vardas3168     Pavarde3168    0      5      5      0      1      6      9      1      6      4      5      1      10     4      7      1      
Vardas3169     Pavarde3169    9      7      2      6      2      8      8      4      4      3      7      9      9      3      1      8      
Vardas3170     Pavarde3170    3      1      6      7      10     2      4      7      6      3      8      0      4      0      0      5      
Vardas3171     Pavarde3171    10     9      5      7      4      9      6      6      5      4      5      3      1      6      3      4      
Vardas3172     Pavarde3172    5      6      9      0      10     0      7      7      8      8      9      9      0      7      0      0      
Vardas3173     Pavarde3173    6      2      2      8      10     9      10     5      0      8      0      5      7      4      0      10     
Vardas3174     Pavarde3174    1      1      3      8      1      9      8      6      9      5      2      0      1      7      4      8      
Vardas3175     Pavarde3175    1      10     9      0      10     3      6      1      3      9      5      9      3      8      5      6      
Vardas3176     Pavarde3176    10     10     4      8      8      6      8      7      8      1      6      7      9      7      9      0      
Vardas3177     Pavarde3177    8      3      5      3      1      8      9      6      0      9      3      10     5      0      3      8      
Vardas3178     Pavarde3178    4      4      0      7      4      0      7      4      4      0      8      10     8      9      9      6      
Vardas3179     Pavarde3179    9      10     2      3      3      9      5      1      0      8      4      9      5      0      7      6      
Vardas3180     Pavarde3180    3      4      8      6      10     4      9      8      7      1      10     10     2      4      4      7      
Vardas3181     Pavarde3181    7      7      2      8      5      3      0      6      6      8      2      3      4      8      5      9      
Vardas3182     Pavarde3182    3      0      9      5      9      8      6      9      0      8      9      4      8      1      7      1      
Vardas3183     Pavarde3183    9      3      6      2      6      8      2      2      4      6      3      2      3      10     7      7      
Vardas3184     Pavarde3184    4      8      3      2      3      4      7      6      5      1      1      3      4      10     5      8      
Vardas3185     Pavarde3185    8      5      4      6      0      4      4      6      5      2      3      7      9      2      4      3      
Vardas3186     Pavarde3186    0      10     4      3      0      9      0      4      10     8      6      2      3      8      5      2      
Vardas3187     Pavarde3187    4      10     0      9      5      6      2      5      9      10     0      8      9      10     10     1      
Vardas3188     Pavarde3188    4      2      0      10     0      7      7      7      8      9      10     5      5      6      10     6      
Vardas3189     Pavarde3189    0      9      8      7      7      8      5      8      0      1      7      8      6      9      4      2      
Vardas3190     Pavarde3190    3      1      5      2      9      3      4      2      4      7      5      8      4      0      4      5      
Vardas3191     Pavarde3191    3      3      7      2      3      7      4      5      7      3      1      8      2      0      8      8      
Vardas3192     Pavarde3192    10     4      0      5      5      2      1      7      6      7      2      6      2      10     2      9      
Vardas3193     Pavarde3193    2      10     2      9      4      7      3      6      5      7      5      7      0      6      3      5      
Vardas3194     Pavarde3194    2      5      1      3      0      5      6      8      0      4      8      8      8      3      5      1      
Vardas3195     Pavarde3195    10     0      4      1      10     10     1      9      1      1      0      7      3      6      10     1      
Vardas3196     Pavarde3196    2      9      6      7      0      1      1      6      9      9      4      4      10     1      8      4      
Vardas3197     Pavarde3197    7      7      5      1      10     2      7      8      3      1      8      2      6      6      3      10     
Vardas3198     Pavarde3198    5      3      10     10     3      5      2      4      5      9      7      2      3      4      5      1      
Vardas3199     Pavarde3199    6      6      10     2      8      8      7      0      7      3      10     9      10     8      4      8      
Vardas3200     Pavarde3200    8      2      1      7      3      10     3      10     1      7      5      3      10     0      8      9      
